timestamp,strategy,universe,period,backtest_id,sharpe,cagr,max_dd,win_rate,avg_win,avg_loss,rr,trades_yr,avg_days,net_profit,ending_equity
2026-01-08T16:33:11.316024,sma_crossover_infra_test,single_instrument,2015-01-01 to 2024-12-31,105cddffc795,0.00,0.0%,0.0%,50.0%,36.2%,-7.4%,4.90,0,498,"$55,995","$228,126"
2026-01-08T16:34:12.037739,sma_crossover_infra_test,single_instrument,2015-01-01 to 2024-12-31,105cddffc795,0.39,8.6%,32.3%,50.0%,36.2%,-7.4%,4.90,0,498,"$55,995","$228,126"
2026-01-08T17:08:12.663111,dual_momentum_gem,etf_core,2015-01-01 to 2024-12-31,0651f9ce20f6,0.27,7.0%,33.4%,0.0%,0.0%,0.0%,0.00,0,0,"$51,984","$197,696"
2026-01-08T17:08:20.127531,sector_rotation,sector_spdrs,2015-01-01 to 2024-12-31,f199199252f7,0.24,6.2%,19.7%,0.0%,0.0%,0.0%,0.00,0,0,"$72,658","$181,709"
2026-01-08T17:08:23.660174,rsi2_mean_reversion,single_instrument,2015-01-01 to 2024-12-31,55190f00547b,0.10,3.9%,29.0%,0.0%,0.0%,0.0%,0.00,0,0,"$46,091","$146,371"
2026-01-08T17:08:27.183395,williams_r_reversion,single_instrument,2015-01-01 to 2024-12-31,96560ea63033,0.07,3.5%,29.0%,0.0%,0.0%,0.0%,0.00,0,0,"$40,459","$140,727"
2026-01-08T17:09:44.375861,dual_momentum_gem,etf_core,2015-01-01 to 2024-12-31,0651f9ce20f6,0.27,7.0%,33.4%,53.3%,10.2%,-4.0%,2.54,2,217,"$51,984","$197,696"
2026-01-08T17:09:47.089266,sector_rotation,sector_spdrs,2015-01-01 to 2024-12-31,f199199252f7,0.24,6.2%,19.7%,0.0%,0.0%,0.0%,0.00,0,0,"$72,658","$181,709"
2026-01-08T17:09:50.108519,rsi2_mean_reversion,single_instrument,2015-01-01 to 2024-12-31,55190f00547b,0.10,3.9%,29.0%,0.0%,0.0%,0.0%,0.00,0,0,"$46,091","$146,371"
2026-01-08T17:09:53.562068,williams_r_reversion,single_instrument,2015-01-01 to 2024-12-31,96560ea63033,0.07,3.5%,29.0%,0.0%,0.0%,0.0%,0.00,0,0,"$40,459","$140,727"
2026-01-08T17:11:21.925666,dual_momentum_gem,etf_core,2015-01-01 to 2024-12-31,0651f9ce20f6,0.27,7.0%,33.4%,53.3%,10.2%,-4.0%,2.54,2,217,"$51,984","$197,696"
2026-01-08T17:11:27.161597,sector_rotation,sector_spdrs,2015-01-01 to 2024-12-31,f199199252f7,0.24,6.2%,19.7%,61.8%,7.9%,-3.6%,2.20,21,62,"$72,658","$181,709"
2026-01-08T17:11:31.647345,rsi2_mean_reversion,single_instrument,2015-01-01 to 2024-12-31,55190f00547b,0.10,3.9%,29.0%,75.4%,2.0%,-3.1%,0.63,6,18,"$46,091","$146,371"
2026-01-08T17:11:34.329485,williams_r_reversion,single_instrument,2015-01-01 to 2024-12-31,96560ea63033,0.07,3.5%,29.0%,78.0%,2.1%,-3.3%,0.65,4,16,"$40,459","$140,727"
