date,symbol,direction,quantity,fill_price,value,fees,order_id,status
2015-01-02T15:00:00Z,LULU,Buy,354.0,55.84579,19769.40966,0,1,3
2015-01-02T15:00:00Z,AVGO,Buy,2562.0,7.7127974965041,19760.187186043506,0,2,3
2015-01-02T15:00:00Z,V,Buy,325.0,60.617278917195,19700.615648088376,0,3,3
2015-01-02T15:00:00Z,PANW,Buy,966.0,20.4454229554575,19750.278574971944,0,4,3
2015-01-02T15:00:00Z,AMAT,Buy,907.0,21.751428935236,19728.546044259052,0,5,3
2015-02-02T15:00:00Z,V,Sell,325.0,58.8141782634352,19114.60793561644,0,6,3
2015-02-02T15:00:00Z,AMAT,Sell,907.0,19.896068387628,18045.734027578594,0,7,3
2015-02-02T15:00:00Z,LULU,Sell,49.0,66.17376,3242.51424,0,8,3
2015-02-02T15:00:00Z,MRVL,Buy,1450.0,13.955092953802,20234.884783012898,0,9,3
2015-02-02T15:00:00Z,HD,Buy,250.0,80.747382629914,20186.8456574785,0,10,3
2015-03-02T15:00:00Z,PANW,Sell,966.0,23.679627632037,22874.520292547742,0,11,3
2015-03-02T15:00:00Z,MRVL,Sell,1450.0,14.493649818024,21015.7922361348,0,12,3
2015-03-02T15:00:00Z,LULU,Buy,21.0,68.50844,1438.6772399999998,0,13,3
2015-03-02T15:00:00Z,NFLX,Buy,3294.0,6.791206208787,22370.23325174438,0,14,3
2015-03-02T15:00:00Z,NOW,Buy,1465.0,15.267252,22366.52418,0,15,3
2015-03-02T15:00:00Z,AVGO,Sell,277.0,9.7657875406962,2705.1231487728473,0,16,3
2015-04-01T14:00:00Z,HD,Sell,250.0,88.129583646552,22032.395911638003,0,17,3
2015-04-01T14:00:00Z,NFLX,Sell,3294.0,5.946755624667,19588.6130276531,0,18,3
2015-04-01T14:00:00Z,LULU,Sell,326.0,63.95598,20849.64948,0,19,3
2015-04-01T14:00:00Z,AVGO,Sell,70.0,9.7454984838624,682.184893870368,0,20,3
2015-04-01T14:00:00Z,AMZN,Buy,1164.0,18.57991402267,21627.01992238788,0,21,3
2015-04-01T14:00:00Z,SBUX,Buy,566.0,38.15364389837,21594.96244647742,0,22,3
2015-04-01T14:00:00Z,PANW,Buy,887.0,24.371010896232,21617.086664957784,0,23,3
2015-04-01T14:00:00Z,NOW,Sell,95.0,15.740244,1495.32318,0,24,3
2015-05-01T14:00:00Z,NOW,Sell,1370.0,14.957028,20491.12836,0,25,3
2015-05-01T14:00:00Z,AMZN,Sell,1164.0,21.018485680794,24465.51733244422,0,26,3
2015-05-01T14:00:00Z,AVGO,Sell,2215.0,8.9703407055744,19869.3046628473,0,27,3
2015-05-01T14:00:00Z,REGN,Buy,48.0,455.391770457624,21858.80498196595,0,28,3
2015-05-01T14:00:00Z,CRM,Buy,303.0,72.027675267548,21824.385606067044,0,29,3
2015-05-01T14:00:00Z,VRTX,Buy,177.0,123.40328,21842.380559999998,0,30,3
2015-05-01T14:00:00Z,SBUX,Sell,19.0,39.870710215164,757.5434940881161,0,31,3
2015-06-01T14:00:00Z,VRTX,Sell,177.0,128.16171,22684.62267,0,32,3
2015-06-01T14:00:00Z,PANW,Sell,887.0,28.2200821779915,25031.212891878462,0,33,3
2015-06-01T14:00:00Z,CRM,Sell,303.0,71.8048032201,21756.8553756903,0,34,3
2015-06-01T14:00:00Z,SBUX,Sell,547.0,41.917574653812,22928.913335635163,0,35,3
2015-06-01T14:00:00Z,NFLX,Buy,2619.0,8.924049075942,23372.084529892098,0,36,3
2015-06-01T14:00:00Z,TSLA,Buy,1396.0,16.736718326328,23364.458783553888,0,37,3
2015-06-01T14:00:00Z,AMZN,Buy,1090.0,21.432562472321,23361.49309482989,0,38,3
2015-06-01T14:00:00Z,REGN,Sell,3.0,509.223191139936,1527.6695734198079,0,39,3
2015-06-01T14:00:00Z,MSFT,Buy,576.0,40.52989583643,23345.22000178368,0,40,3
2015-07-01T14:00:00Z,REGN,Sell,45.0,506.809010645028,22806.40547902626,0,41,3
2015-07-01T14:00:00Z,MSFT,Sell,576.0,38.109681745425,21951.1766853648,0,42,3
2015-07-01T14:00:00Z,AMZN,Sell,1090.0,21.631927661757,23578.80115131513,0,43,3
2015-07-01T14:00:00Z,NFLX,Sell,100.0,9.375462910242,937.5462910242,0,44,3
2015-07-01T14:00:00Z,TSLA,Sell,74.0,17.8661142133884,1322.0924517907415,0,45,3
2015-07-01T14:00:00Z,PANW,Buy,812.0,29.145780418755,23666.37370002906,0,46,3
2015-07-01T14:00:00Z,LLY,Buy,340.0,69.532048867281,23640.896614875543,0,47,3
2015-07-01T14:00:00Z,LRCX,Buy,3372.0,7.014165877719,23651.76733966847,0,48,3
2015-08-03T14:00:00Z,LRCX,Sell,3372.0,6.6146484380922,22304.5945332469,0,49,3
2015-08-03T14:00:00Z,TSLA,Sell,1322.0,17.725588227441,23433.227636677002,0,50,3
2015-08-03T14:00:00Z,NFLX,Sell,359.0,11.419569,4099.625271,0,51,3
2015-08-03T14:00:00Z,PANW,Sell,15.0,30.952346904765,464.285203571475,0,52,3
2015-08-03T14:00:00Z,META,Buy,264.0,93.451229303432,24671.12453610605,0,53,3
2015-08-03T14:00:00Z,LLY,Buy,11.0,70.381524131919,774.196765451109,0,54,3
2015-08-03T14:00:00Z,SBUX,Buy,527.0,46.827300448929,24677.987336585586,0,55,3
2015-09-01T14:00:00Z,PANW,Sell,797.0,27.342627265737,21792.07393079239,0,56,3
2015-09-01T14:00:00Z,LLY,Sell,351.0,68.857636392045,24169.030373607795,0,57,3
2015-09-01T14:00:00Z,SBUX,Sell,527.0,44.257766009922,23323.842687228895,0,58,3
2015-09-01T14:00:00Z,NFLX,Sell,1137.0,11.491497,13065.832089000001,0,59,3
